school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
香港理工大学,康复科学理学硕士,MSc Rehabilitation Sciences,"社科,医学,医疗及社会科学院",专业方向: 医学 入学时间: 9月 项目时长: 1年 项目学费: 208500港币/年,具有香港理工大学或认可院校颁发的学士学位或同等学历，需要康复相关学科背景（例如医疗保健、生物医学、运动科学、健康与福祉等），最好具备至少1年毕业后的康复工作经验；或 具有香港理工大学或认可院校颁发的专业文凭或同等学历，需要康复相关专业背景，并且具备2年工作经验以及在过去2内接受继续教育的证明。 个别情况下学院会根据个案考虑，申请者可能需要参加面试或笔试以进一步证明他们的语言能力,香港理工大学康复科学理学硕士项目旨在为学生提供康复领域的先进知识和技能，满足康复实践不断变化的需求并为康复专业的发展做出贡献；同时使学生具有终生的能力来批判性地分析和评估进行中的实践，从而可以提高和确保专业实践的质量，发展与专业学科相关的专业领域的知识和技能，以提高专业能力。,{{ per_lang.name }},神经心理康复 (Neuro-psychological Rehabilitation) 发育障碍者心理社会康复 (Psychosocial Rehabilitation for People with Developmental Disabilities) 发育障碍者感觉和运动发明 (Sensory and Motor Invention for People with Developmental Disabilities) 独立研究I/II (Independent Study I/II) 大脑与行为 (Brain and Behaviour) 心理测量理论与实践 (Psychometric Theories and Practice) 先天性病理生理学与儿童康复研究进展 (Advances in Congenital Pathophysiology and Pediatric Rehabilitation),,hongkong,香港理工大学_康复科学理学硕士.json
香港大学,哲学、政治与经济学文学硕士,"MA Philosophy, Politics and Economics","社科,国际关系,文学院",专业方向: 国际关系 入学时间: 9月 项目时长: 1年 项目学费: 283400港币/年,具有良好的学士学位或同等学历，需要主修哲学、政治学、经济学，或主修其他学科并具备研究以上任一学科的经验,香港大学哲学、政治与经济学文学硕士旨在让学生全面了解这三个学科的核心思想和相互联系。该项目强调批判性思维、分析能力和解决问题的跨学科方法。 PPE 学位是跨学科和综合性的，为学生提供了独特的视角，使他们能够从多个角度、跨广泛的领域和问题分析和理解复杂的问题。学生将深入研究复杂的伦理和政治问题、经济体系和哲学理论，并学习如何作为实践者和思想家将这些概念应用到现实世界中。,{{ per_lang.name }},"哲学、政治与经济基础：原因与方法 (Foundations of PPE: Reasons and Methods) 哲学、政治与经济基础：政治理论与实践 (Foundations of PPE: Theory and Practice of Politics) 哲学、政治与经济基础：伦理学与经济学 (Foundations of PPE: Ethics and Economics) 亚洲地缘经济学 (Asian Geoeconomics) 商业与社会 (Business and Society) 比较伦理学 (Comparative Ethics) 比较政治哲学 (Comparative Political Philosophy) 当代中国外交政策与政治 (Foreign Policy and Politics of Contemporary China) 人类的未来 (Future of Humanity) 制度经济学 (Institutional Economics) 思想史 (Intellectual History) 语言与政治 (Language and Politics) 法律哲学/法理学 (Philosophy of Law/Jurisprudence) 政治语言与本质可竞争性 (Political Language and Essential Contestability) 哲学、政治与经济研讨会 (PPE Workshop) 公共政策制定 (Public Policymaking) 科学与社会 (Science and Society) 社会与政治认识论 (Social and Political Epistemology) 顶点经验：哲学、政治与经济学文学硕士作品集项目 (Capstone Experience: MA Portfolio Project in Philosophy, Politics and Economics)",,hongkong,香港大学_哲学、政治与经济学文学硕士.json
香港理工大学,医学物理理学硕士,MSc Medical Physics,"社科,医学,医疗及社会科学院",专业方向: 医学 入学时间: 9月 项目时长: 1.5年 项目学费: 126000港币/年,具有学士学位，需要物理学、应用物理学或工程物理学背景；或 具有学士学位，需要自然科学、数学、工程学、放射学或卫生技术背景。,香港理工大学医学物理理学硕士课程的范围包括放射治疗，诊断成像，核医学和医学健康物理学，因此可以满足医学物理学家的教育要求。该课程符合医学物理学研究生教育的国际标准。教学团队包括大量经验丰富的临床专业人员，包括临床医学物理学家，肿瘤学家和放射科医生。该计划为学生做好临床医学物理学，医学技术研发，学术界，政府法规，医疗保健行业，企业家精神等职业的准备。该计划旨在为学生提供物理学，工程学和/或健康技术方面的背景知识，以及对医学物理学感兴趣的学生，从而有机会发展医学知识和技能物理。,{{ per_lang.name }},研究方法与生物统计学 (Research Methods & Biostatistics) 辐射物理学 (Radiation Physics) 辐射防护与辐射安全 (Radiation Protection and Radiation Safety) 人体解剖学与生理学 (Human Anatomy and Physiology) 放射治疗物理学 (Radiation Therapy Physics) 医学影像物理学 (Medical Imaging Physics) 医学物理学家放射生物学 (Radiobiology for Medical Physicists) 医学与研究中的伦理问题 (Ethical Issues in Medicine and Research) 医学物理学临床实习 (Clinical Practicum of Medical Physics) 健康科学中的生物信息学 (Bioinformatics in Health Sciences) 论文 (Dissertation) 卫生技术高级专题 (Advanced Topics in Health Technology) 多平面解剖学 (Multiplanar Anatomy) 高级放射治疗计划与剂量学 (Advanced Radiotherapy Planning and Dosimetry) 计算机断层扫描高级技术与临床应用 (Advanced Technology and Clinical Application in Computed Tomography),,hongkong,香港理工大学_医学物理理学硕士.json
香港浸会大学,运筹学及商业统计理学硕士,MSc Operational Research & Business Statistics,"理科,数学,理学院",专业方向: 数学 入学时间: 9月 项目时长: 1年 项目学费: 200000港币/年,所有申请者必须毕业于认可的学院或大学，申请者通常应具有数学、统计学、计算机科学、物理、工程、商科或其他相关专业的学士学位或同等资格，精通基础数学,香港浸会大学运筹学及商业统计理学硕士是应用先进分析方法帮助做出更好决策的学科。它使组织有能力据以下内容做出更有效的决策并建立更高效的系统：更复杂的数据；考虑所有可用选项；仔细预测结果和风险估计；最新的决策工具和技术 该项目旨在： 为运筹学和商业统计领域的在职专业人士提供继续教育的机会。 为个人提供一条职业转换的道路，进入运筹学和商业统计领域。,{{ per_lang.name }},运筹学（一） (Operational Research I) 生产运营管理技术 (Techniques of Production Operations Management) 商业管理统计软件 (Statistical Software in Business & Management) 计算机仿真工具 (Computer Tools for Simulation) 应用多变量分析 (Applied Multivariate Analysis) 应用时间序列 (Applied Time Series) 商业统计与建模 (Business Statistics & Modeling) 运筹学（二） (Operational Research II) 绩效管理 (Performance Management) 管理复杂度：系统方法 (Managing Complexity: The Systems Approach) 抽样调查 (Survey Sampling) 精算统计学 (Actuarial Statistics) 实验设计 (Experimental Design) 硕士论文（一） (Dissertation I) 衍生工具 (Derivatives),,hongkong,香港浸会大学_运筹学及商业统计理学硕士.json
香港中文大学,房地产理学硕士,MSc Real Estate,"商科,房地产,商学院",专业方向: 房地产 入学时间: 9月 项目时长: 1年 项目学费: 280000港币/年,具有认可大学颁发的学士学位或同等专业资格，通常达到二等荣誉学位或平均成绩不低于B 不强制要求GMAT/GRE，但良好的GMAT/GRE成绩将有助于申请,香港中文大学房地产理学硕士是亚洲唯一一个利用多学科研究和教学资源的硕士学位，包括房地产、商业和酒店。该课程提供了一个经验式的学习课程，将理论和实际实践相结合，确保学生从商业、投资和社区的角度理解房地产开发的多个阶段。,{{ per_lang.name }},房地产金融 (Real Estate Finance) 房地产开发与投资 (Property Development and Investment) 连锁酒店开发与管理 (Chain Development and Management) 战略与比较优势 (Strategy and Competitive Advantage) 房地产估值 (Real Estate Valuation) 设施开发与管理 (Facilities Development and Management) 房地产经济学 (Real Estate Economics) 行为决策 (Behavioral Decision Making) 收益管理 (Revenue Management) 购物中心开发与管理 (Shopping Mall Development and Management) 历史建筑复兴 (Revitalisation of Historic Buildings) 土地转换过程与发展管理 (Land Conversion Process and Development Control) 房地产和酒店项目规划与执行 (Planning and Executing Real Estate and Hospitality Projects),,hongkong,香港中文大学_房地产理学硕士.json
香港理工大学,经济学理学硕士（数字经济学）,MSc Economics (Digital Economics),"商科,经济,商学院",专业方向: 经济 入学时间: 9月 项目时长: 1年 项目学费: 321750港币/年,具有认可大学颁发的学士学位 合适的申请者可能会被邀请参加面试,香港理工大学经济学理学硕士项目旨在使学生具备扎实的经济分析技能，重点是数字技术的快速发展和数据日益增长的重要性，除了接受核心经济理论的全面培训外，学生还可以选择专攻应用经济学或数字经济学。香港理工大学经济学理学硕士（数字经济学）课程旨在为学生提供有关数字经济发展和前景的最新知识，并培养其通过严格的经济分析来研究与数字经济相关的问题。,{{ per_lang.name }},学术诚信与商业道德 (Academic Integrity and Ethics in Business) 数字经济学高级专题 (Advanced Topics in Digital Economics) 国际经济学 (International Economics) 宏观经济学 (Macroeconomics) 管理经济学与数字化转型 (Managerial Economics and Digital Transformation) 微观经济学 (Microeconomics) 人工智能概念 (Artificial Intelligence Concepts) 会计与金融中的商业分析 (Business Analytics in Accounting and Finance) 虚拟经济与生态系统 (Metaverse Economics and Ecosystems) 数字经济学研究项目 (Research Project in Digital Economics) 应用经济学高级专题 (Advanced Topics in Applied Economics) 数据结构与数据库系统 (Data Structures and Database Systems) 数据分析计量经济学 (Econometrics for Data Analysis) ESG投资与绿色金融 (ESG Investment and Green Finance) 投资 (Investment) 会计与金融定量方法 (Quantitative Methods for Accounting and Finance) 金融定量方法 (Quantitative Methods for Finance),,hongkong,香港理工大学_经济学理学硕士（数字经济学）.json
香港科技大学,人工智能与创业理学硕士,MSc Artificial Intelligence and Entrepreneurship,"工科,计算机,工程学院",专业方向: 计算机 入学时间: 9月 项目时长: 2年 项目学费: 250000港币/年,具有计算机工程，计算机科学或相关学科的学士学位。具有其他学科学士学位的申请人必须具有至少两年与该计划相关的资格后工作经验,近年来，人工智能（AI）已成为一股变革力量，推动了各个领域的重大科学进步和创新应用。香港科技大学人工智能与创业理学硕士项目旨在培养能够开发新型人工智能技术的人工智能专家，并识别和评估人工智能创业机会。通过课程、研讨会和为期一年的实习，学生将获得深厚的人工智能技术知识和高级技能，使他们能够为该领域的复杂挑战提供原创见解和创新解决方案。,{{ per_lang.name }},人工智能编程 (Programming for Artificial Intelligence) AI基础：概念与方法 (AI Fundamentals: Concepts and Methods) 人工智能伦理 (Artificial Intelligence Ethics) 算法设计与分析 (Design and Analysis of Algorithms) 计算理论 (Theory of Computation) 机器学习 (Machine Learning) 自然语言处理 (Natural Language Processing) 计算机视觉 (Computer Vision) 生成式AI与大型语言模型 (Generative AI and Large Language Models) 机器学习系统 (Machine Learning System) 人工智能安全与隐私 (Artificial Intelligence Security and Privacy) 我的创业 (Entrepreneurial Me) 人工智能创业研讨会 (Startup Seminars for AI) 人工智能的创新管理 (Innovation Management for AI) AI实习与创业 (Internship and Entrepreneurship for AI),,hongkong,香港科技大学_人工智能与创业理学硕士.json
香港大学,计算机科学理学硕士（常规方向）,MSc Computer Science (General Stream),"工科,计算机,计算与数据科学学院",专业方向: 计算机 入学时间: 9月 项目时长: 1年 项目学费: 320000港币/年,具有学士学位或同等学历,香港大学计算机科学（通识方向）硕士学位课程涵盖了广泛而全面的计算机科学课程，学生可以从一系列广泛的课程中进行选择。,{{ per_lang.name }},计算机与网络安全 (Computer and Network Security) 电子商务安全案例与技术手段 (e-Commerce Security Cases and Technologies) 数字化财产的法律保护 (Legal Protection of Digital Property) 无线网络安全 (Wireless Network Security) 数字化调查与取证 (Digital Investigations and Forensics) 信息安全：攻击与防卫 (Information Security: Attacks and Defense) 定量金融软件开发 (Software Development for Quantitative Finance) 图像处理与计算机视觉 (Image Processing and Computer Vision) 多媒体技术 (Multimedia Technologies) 模式识别与应用 (Pattern Recognition and Applications) 用户界面设计与开发 (User Interface Design and Development) 可视化与可视化分析论 (Visualisation and Visual Analytics) 高级多媒体数据分析与应用 (Advanced Multimedia Data Analysis and Applications) 计算金融概论 (Introduction to Financial Computing) 计算金融学技术 (Techniques in Computational Finance),,hongkong,香港大学_计算机科学理学硕士（常规方向）.json
香港城市大学,土木与建筑工程理学硕士,MSc Civil and Architectural Engineering,"工科,土木工程,工程学院",专业方向: 土木工程 入学时间: 9月 项目时长: 1年 项目学费: 231000港币/年,"具有香港工程师学会(HKIE)/香港测量师学会(HKIS)/香港建筑师学会(HKIA)/香港房屋学会(HKIH)认可的荣誉学士学位；或 具有HKIE, HKIS, HKIA, HKIH或同等机构的企业会员资格；或 具有认可教育机构颁发的建筑相关学科第一学位；或 已取得同等资格或能够提供课程可接受的学术和专业成就证明；或 没有指定学历的申请者，如能提供特别优秀的其他学历，并具备丰富的技术和管理经验，仍然可以根据具体情况考虑录取",香港城市大学土木及建筑工程理学硕士学位课程旨在：更新建筑工程相关专业人才的知识，使其对土木工程、成本控制以及建筑管理有更进一步的认识；培养工程造价、土木工程以及屋宇设备领域的精英人才；为建造相关学科的学生以后深造打下良好的知识基础；为土木、城规、屋宇设备和建造的专业人才提供多学科的研究方法；使学生能够在多元化的相关领域内进行研究工作。,{{ per_lang.name }},"建筑环境的建模与计算技术 (Modelling and Computational Techniques for Built Environment) 土木工程与工程力学分析方法 (Methods of Analysis in Civil Engineering and Engineering Mechanics) 论文 - 土木工程 (Dissertation - Civil Engineering) 项目管理 (Project Management) 虚拟设计与建造 (Virtual Design and Construction) 环境经济学、规划与政策 (Environmental Economics, Planning and Policy) 交通与土地规划 (Transportation and Land Planning) 建筑工程系统与维护 (Building Engineering Systems and Maintenance) 专业研究方法 (Professional Research MMethods) 岩土与基础工程 (Geotechnical and Foundation Engineering) 统计方法与数据分析 (Statistical Methods and Data Analytics) 合同策略与管理 (Contract Strategy and Administration) 现代结构工程 (Modern Structural Engineering) 地质力学 (Geomechanics) 室内环境质量 (Indoor Environmental Quality) 建筑可持续发展的能源管理 (Energy Management for Building Sustainability) 论文 - 建筑环境与可持续发展 (Dissertation - Building Environment and Sustainability) 可持续建筑性能的可再生能源 (Renewable Energy for a Sustainable Building Performance) 可持续建筑发展 (Sustainable Building Development) 可持续性分析建筑环境建模 (Building Environment Modelling for Sustainability Analysis) 能源、环境与可持续发展 (Energy, Environment and Sustainable Development) 能源生产与存储系统 (Energy Generation and Storage Systems) 能源效率与节约技术 (Energy Efficiency and Conservation Technologies) 碳审计与管理 (Carbon Audit and Management) 中国的环境治理 (Environmental Governance in China) 可持续发展：理论与政策 (Sustainable Development:Theory and Policy)",,hongkong,香港城市大学_土木与建筑工程理学硕士.json
香港中文大学,金融工程理学硕士（CUHK-Shenzhen）,MSc Financial Engineering (CUHK-Shenzhen),"商科,金工金数,深圳校区",专业方向: 金工金数 入学时间: 9月 项目时长: 2年 项目学费: 134000人民币/年,申请者需毕业于认可的大学并获得学士学位，需要提供B等级证明，或获得等同大学本科的资历 需要提供成绩排名证明,香港中文大学（深圳）与香港中文大学合作开办金融工程硕士项目。该项目是香港中文大学（深圳）设立的首批硕士课程之一，融合了金融理论、高等数学、建模、分析与优化，程序设计及其实现，产品开发等方面的知识和技术，为立志投身于证券，银行，金融管理，管理与策略咨询，定量分析等行业的人员设立。香港中文大学（深圳）金融工程理学硕士项目致力于帮助学生掌握金融理论，定量分析方法以及程序设计技术，使之在面临迅速发展的中国以及国际金融市场所带来的挑战时，能够发挥所学，服务企业与社会。,{{ per_lang.name }},最优化理论 (Optimization) 随机模型 (Stochastic Models) 投资科学 (Investment Sciences) 金融衍生产品 (Financial Derivatives) 中国金融市场概论 (Introduction to Chinese Financial Markets) 金融数据分析 (Financial Data Analysis) 定量风险管理  (Quantitative Risk Management) 利率期限模型与固定收益证券 (Term Structure Models and Fixed-income Securities) 大宗商品市场建模  (Commodity Markets and Modeling) 信用风险模型与产品  (Credit Risk Modeling and Products ) 金融工程中的计算方法 (Computational Methods in Financial Engineering) 算法交易  (Algorithm Trading) 金融工程专题:公司风险管理 (Special Topics in Financial Engineering - Corporate Risk Management) 程序设计在金融工程中的应用 (Programming for Financial Engineering) 数据科学在金融工程中的应用 (Data Sciences in Financial Engineering),,hongkong,香港中文大学_金融工程理学硕士（CUHK-Shenzhen）.json
